Nazwa,Kryterium,Opis,Za co?,Rola
🔁 7-dniowiec,Głosował codziennie przez 7 dni z rzędu,Masz rytm,Konsekwencja,Głosujący
🕒 Dzień po dniu,Trzymał przycisk przynajmniej raz dziennie przez 10 dni,Konsekwencja!,Konsekwencja,Głosujący
📊 Głosownik,Oddał 50 głosów w miesiącu,"Wiesz, co ważne",Konsekwencja,Głosujący
🚀 Boostownik,Wykorzystał dzienny limit boostów przez 5 dni,Regularne wsparcie,Konsekwencja,Głosujący
📅 Pełny Miesiąc,Głosował codziennie przez cały miesiąc,Zero pominięć,Konsekwencja,Głosujący
🎯 1-dniowa seria,Oddaj 7 głosów jednego dnia,Głosowy maraton,Osiągnięcie,Głosujący
📌 Kolekcjoner,Zapisz 10 ankiet do zakładek,Lubisz wracać,Osiągnięcie,Głosujący
🕵️ ID Hunter,Znajdź ankietę po ID i zagłosuj,Spryt!,Osiągnięcie,Głosujący
🌍 Globalny,Głosuj z 3 różnych krajów/IP,Światowiec,Osiągnięcie,Głosujący
🔥 Pushowy,Weź udział w rekordowym pushu (24h),Byłeś tam!,Osiągnięcie,Głosujący
💪 Boost x10,Boostnij 10 ankiet,Wspierasz ważne rzeczy,Osiągnięcie,Głosujący
🧠 Zmieniam zdanie,Edytuj oddany głos,Elastyczne podejście,Osiągnięcie,Głosujący
💯 100 głosów,Oddaj 100 głosów,Zasłużony obywatel,Osiągnięcie,Głosujący
🔟 10 głosów,Oddaj 10 głosów,Rozgrzewka za Tobą,Osiągnięcie,Głosujący
🎯 Pierwszy głos,Oddaj pierwszy głos,Zaczynasz przygodę,Osiągnięcie,Głosujący
🏅 Wyróżniony,Jedna z Twoich ankiet znalazła się w rankingu 24h,Hit dnia,Konsekwencja,Twórcy
📢 Boostowany,Twoje ankiety otrzymały 10 boostów,Są warte uwagi,Konsekwencja,Twórcy
📬 Zaangażowanie,Twoje ankiety zebrały łącznie 200 głosów,Docierasz,Konsekwencja,Twórcy
📈 Producent,Utwórz 10 ankiet w miesiącu,Seryjny twórca,Konsekwencja,Twórcy
✍️ Autor,Utwórz pierwszą ankietę w miesiącu,Startujesz!,Konsekwencja,Twórcy
📣 Udostępniona,Ankieta udostępniona 5 razy,Wiral!,Osiągnięcie,Twórcy
🔁 Powtarzalna,3 osoby zagłosowały w 3 Twoich ankietach,Masz fanów,Osiągnięcie,Twórcy
🏆 Rankingowa,Ankieta trafiła do Hall of Fame,Wielka rzecz,Osiągnięcie,Twórcy
🗺️ Międzynarodowa,Głosy z 3+ krajów,Działa globalnie,Osiągnięcie,Twórcy
⏱️ Reaktywna,Ktoś zagłosował w <5 minut od publikacji,Szybki odzew,Osiągnięcie,Twórcy
📬 Feedback,Ankieta otrzymała boost,Ktoś ją promuje,Osiągnięcie,Twórcy
🎯 Popularna,Ankieta z 100+ głosami,Trafiłeś w sedno,Osiągnięcie,Twórcy
🔟 Dziesięć,Utwórz 10 ankiet,Jesteś aktywny,Osiągnięcie,Twórcy
✏️ Pięć,Utwórz 5 ankiet,Rozkręcasz się,Osiągnięcie,Twórcy
🛎️ Pierwsza ankieta,Utwórz pierwszą ankietę,Brawo!,Osiągnięcie,Twórcy